,store_number,city,country,latitude,longitude,ownership_type,opening_time
127,29073-252347,Badung,ID,-8.782535,115.167517,LS,"('23', '23', 'AM')"
128,30833-101913,Bali,ID,-8.801467,115.232102,LS,"('10', '00', 'AM')"
129,7173-136396,Jakarta,ID,-6.146453,106.816071,LS,"('12', '00', 'AM')"
130,55920-289792,Jakarta,ID,-6.147149,106.813551,LS,"('23', '23', 'AM')"
131,58466-292677,Jakarta,ID,-6.141141,106.812976,LS,"('23', '23', 'AM')"
132,29076-252349,Kecamatan Taman Sari,ID,-6.14884,106.82339,LS,"('23', '23', 'AM')"
133,24072-220790,Jakarta,ID,-6.137545,106.814095,LS,"('23', '23', 'AM')"
134,57531-291667,Jakarta,ID,-6.14761,106.827251,LS,"('23', '23', 'AM')"
135,51373-275433,Jakarta,ID,-6.165804,106.820607,LS,"('23', '23', 'AM')"
136,52006-280484,Jakarta,ID,-6.153511,106.796117,LS,"('23', '23', 'AM')"
137,19577-199524,Jakarta,ID,-6.130532,106.830971,LS,"('12', '00', 'AM')"
138,31186-234184,Jakarta Utara,ID,-6.126274,106.83,LS,"('10', '00', 'AM')"
139,26882-245968,Jakarta,ID,-6.14698,106.841087,LS,"('23', '23', 'AM')"
140,47654-259168,Jakarta,ID,-6.16908,106.8343,LS,"('23', '23', 'AM')"
141,15855-165845,Jakarta,ID,-6.17524,106.812141,LS,"('7', '00', 'AM')"
142,32358-136391,Jakarta Utara,ID,-6.12729,106.79306,LS,"('8', '00', 'AM')"
143,24312-229424,Jakarta,ID,-6.17531,106.828,LS,"('23', '23', 'AM')"
144,18642-193804,Jakarta,ID,-6.176693,106.831131,LS,"('5', '00', 'AM')"
145,15854-165844,Jakarta,ID,-6.17719,106.799217,LS,"('6', '30', 'AM')"
146,50779-276269,Jakarta,ID,-6.169202,106.788393,LS,"('23', '23', 'AM')"
147,58161-292304,Jakarta,ID,-6.159676,106.850082,LS,"('23', '23', 'AM')"
148,17446-182010,Jakarta,ID,-6.18287,106.823257,LS,"('6', '30', 'AM')"
149,3672-142233,Jakarta,ID,-6.173725,106.789954,LS,"('8', '00', 'AM')"
150,7175-150684,Jakarta Barat,ID,-6.173725,106.789864,LS,"('8', '00', 'AM')"
151,35605-79002,Jakarta,ID,-6.173725,106.789774,LS,"('8', '30', 'AM')"
152,66877-301538,Jakarta,ID,-6.183448,106.824867,LS,"('23', '23', 'AM')"
153,49822-271382,Jakarta,ID,-6.140745,106.854405,LS,"('23', '23', 'AM')"
154,18970-197408,Jakarta,ID,-6.17644,106.79158,LS,"('10', '00', 'AM')"
155,60335-294565,Jakarta,ID,-6.185069,106.814477,LS,"('23', '23', 'AM')"
156,54533-286798,Jakarta,ID,-6.174044,106.788335,LS,"('23', '23', 'AM')"
157,1806-136388,Jakarta Utara,ID,-6.117807,106.78933,LS,"('10', '00', 'AM')"
158,16220-169291,Jakarta,ID,-6.17665,106.841118,LS,"('9', '30', 'AM')"
159,15328-159205,Makassar,ID,-6.13347,106.85396,LS,"('10', '00', 'AM')"
160,3582-136395,Jakarta Utara,ID,-6.11873,106.78442,LS,"('10', '00', 'AM')"
161,35631-224526,Jakarta,ID,-6.176665,106.783989,LS,"('9', '00', 'AM')"
162,19736-199151,Jakarta,ID,-6.19003,106.82341,LS,"('6', '30', 'AM')"
163,58888-293170,Jakarta,ID,-6.173833,106.780461,LS,"('23', '23', 'AM')"
164,35620-93483,Jakarta,ID,-6.19137,106.82306,LS,"('12', '00', 'AM')"
165,15256-159204,Makassar,ID,-6.18922,106.83156,LS,"('10', '00', 'AM')"
166,24691-293470,Jakarta,ID,-6.191434,106.822657,LS,"('23', '23', 'AM')"
167,29437-253764,Jakarta,ID,-6.189951,106.79742,LS,"('23', '23', 'AM')"
168,50294-273928,Jakarta,ID,-6.194367,106.821843,LS,"('23', '23', 'AM')"
169,16074-168166,Jakarta,ID,-6.138589,106.864433,LS,"('23', '23', 'AM')"
170,29975-256272,Jakarta,ID,-6.1901,106.83786,LS,"('23', '23', 'AM')"
171,52289-281383,Jakarta,ID,-6.19521,106.817596,LS,"('23', '23', 'AM')"
172,55416-289282,Jakarta,ID,-6.115874,106.776516,LS,"('23', '23', 'AM')"
173,31210-105745,Jakarta Pusat,ID,-6.19498,106.82889,LS,"('7', '00', 'AM')"
174,16264-169646,Jakarta,ID,-6.13869,106.765648,LS,"('23', '23', 'AM')"
175,19626-199157,Jakarta,ID,-6.110632,106.779839,LS,"('23', '23', 'AM')"
176,31683-110844,Jakarta,ID,-6.19683,106.823541,LS,"('9', '00', 'AM')"
177,3676-145544,DKI Jakarta,ID,-6.19683,106.823631,LS,"('10', '00', 'AM')"
178,31691-110845,Jakarta,ID,-6.19683,106.823721,LS,"('10', '00', 'AM')"
179,1802-136390,Jakarta,ID,-6.22113,106.83192,LS,"('8', '00', 'AM')"
180,16061-159201,Jakarta,ID,-6.22087,106.83195,LS,"('6', '30', 'AM')"
181,35609-81420,Jakarta,ID,-6.22087,106.83204,LS,"('6', '30', 'AM')"
182,24692-238764,Jakarta,ID,-6.22089,106.832077,LS,"('23', '23', 'AM')"
183,50296-273927,Jakarta,ID,-6.221075,106.832808,LS,"('23', '23', 'AM')"
184,25076-239905,Jakarta,ID,-6.22116,106.833,LS,"('23', '23', 'AM')"
185,1805-136389,Jakarta,ID,-6.22556,106.83408,LS,"('8', '00', 'AM')"
186,60393-294658,Jakarta,ID,-6.226711,106.832077,LS,"('23', '23', 'AM')"
187,58890-293174,Jakarta,ID,-6.225232,106.82802,LS,"('23', '23', 'AM')"
188,19202-199506,Jakarta,ID,-6.21462,106.829636,LS,"('23', '23', 'AM')"
189,49826-271386,Jakarta,ID,-6.224403,106.825745,LS,"('23', '23', 'AM')"
190,15257-159192,Jakarta,ID,-6.213633,106.830437,LS,"('6', '30', 'AM')"
191,52294-281384,Jakarta,ID,-6.22388,106.840449,LS,"('23', '23', 'AM')"
192,60261-294525,Jakarta,ID,-6.227862,106.82557,LS,"('23', '23', 'AM')"
193,19625-199164,Jakarta,ID,-6.2222,106.821953,LS,"('10', '00', 'AM')"
194,15873-166345,Jakarta,ID,-6.229484,106.825745,LS,"('7', '30', 'AM')"
195,18181-187485,Jakarta,ID,-6.21509,106.82039,LS,"('6', '30', 'AM')"
196,35630-98942,Jakarta,ID,-6.21065,106.8208,LS,"('6', '30', 'AM')"
197,1578-137812,Jakarta,ID,-6.21065,106.82071,LS,"('6', '30', 'AM')"
198,1471-138566,Jakarta,ID,-6.210831,106.82045,LS,"('6', '30', 'AM')"
199,35603-78921,Jakarta,ID,-6.210434,106.820633,LS,"('6', '30', 'AM')"
200,29434-253766,Jakarta,ID,-6.210343,106.820687,LS,"('23', '23', 'AM')"
201,31136-104736,Jakarta,ID,-6.210208,106.820747,LS,"('6', '30', 'AM')"
202,52064-280750,Jakarta,ID,-6.210182,106.81956,LS,"('23', '23', 'AM')"
203,55997-289892,Jakarta,ID,-6.208116,106.816901,LS,"('23', '23', 'AM')"
204,35601-75560,Jakarta,ID,-6.20292,106.82259,LS,"('7', '00', 'AM')"
205,16235-169645,Jakarta,ID,-6.200253,106.823067,LS,"('6', '30', 'AM')"
206,61786-296315,Jakarta,ID,-6.200455,106.822353,LS,"('23', '23', 'AM')"
207,55060-288845,Jakarta,ID,-6.201408,106.819916,LS,"('23', '23', 'AM')"
